State,Year,District,GDP,GrowthRate,GDP_score,Growth_score,DDI,Rank,Category
AndhraPradesh,2001,Godavari West,7581.59,-1.273667214,0.039374511532645554,0.3861718503193594,0.1780934470473311,183.0,Low Development
AndhraPradesh,2001,Guntur,9093.67,7.739033181,0.0472546998801809,0.42305896577621743,0.19757640623859551,32.0,Low Development
AndhraPradesh,2001,Hyderabad,10579.58,7.974840251,0.05499850355954061,0.42402407525899344,0.20260873223932174,22.0,Low Development
AndhraPradesh,2001,Kadapa,3947.37,-6.956072863,0.02043481383385984,0.36291494128423274,0.157426864814009,471.0,Low Development
AndhraPradesh,2001,Karimnagar,6596.97,1.671256818,0.03424317519412494,0.39822481425016143,0.17983583081653956,159.0,Low Development
AndhraPradesh,2001,Khammam,5660.22,7.772863239,0.029361312835946975,0.42319742519466774,0.1868957577794353,86.0,Low Development
AndhraPradesh,2001,Krishna,9401.85,5.986733974,0.04886077657251427,0.41588716816499,0.19567133320950458,40.0,Low Development
AndhraPradesh,2001,Kurnool,5528.65,6.769445281,0.028675637222960074,0.41909064338166474,0.18484163968644196,107.0,Low Development
AndhraPradesh,2001,Mahabubnagar,4717.05,7.789459733,0.0244459927181325,0.42326535120613223,0.1839737361133324,113.0,Low Development
AndhraPradesh,2001,Medak,6483.42,5.561869283,0.033651410613638036,0.4141482850085995,0.18585016037162264,95.0,Low Development
AndhraPradesh,2001,Nalgonda,5334.46,2.89981154,0.027663618166291194,0.4032530341941666,0.17789938457744137,186.0,Low Development
AndhraPradesh,2001,Nellore,5190.19,7.87791743,0.026911756642496863,0.42362739023320306,0.18559801007877935,98.0,Low Development
AndhraPradesh,2001,Nizamabad,3566.05,-0.667407612,0.018447568833144152,0.38865314526490197,0.16652979940584728,370.0,Low Development
AndhraPradesh,2001,Prakasam,5253.02,0.831719354,0.02723919449887725,0.3947887613461831,0.1742590212377996,238.0,Low Development
AndhraPradesh,2001,Rangareddy,8277.61,9.250284423,0.043001812134235116,0.42924420400724755,0.1974987688834401,33.0,Low Development
AndhraPradesh,2001,Srikakulam,3336.08,1.959681659,0.017249082698625674,0.39940527736824033,0.17011156056647156,309.0,Low Development
AndhraPradesh,2001,Visakapatnam,9773.66,4.532240987,0.05079846031245998,0.4099342297124454,0.19445276807245415,42.0,Low Development
AndhraPradesh,2001,Vizianagaram,3006.34,9.883659304,0.015530646302590871,0.4318364761719677,0.1820529782503416,131.0,Low Development
AndhraPradesh,2001,Warangal,4948.11,-0.757141195,0.02565015937570453,0.3882858843007724,0.17070444934573167,296.0,Low Development
AndhraPradesh,2002,Adilabad,4099.29,-2.61581223,0.02122654324880982,0.3806787288357579,0.16500741748358905,305.0,Low Development
AndhraPradesh,2002,Anantapur,5728.86,0.03422445,0.02971902944364949,0.3915247799298671,0.17444132963813655,165.0,Low Development
AndhraPradesh,2002,Chittoor,6490.28,-2.83066466,0.03368716142845212,0.37979938235309957,0.1721320497983111,203.0,Low Development
AndhraPradesh,2002,Godavari East,10774.68,4.672159973,0.05601526507123586,0.41050688913359423,0.1978119146961792,30.0,Low Development
AndhraPradesh,2002,Godavari West,8157.23,7.592602607,0.04237445308360532,0.42245965577446165,0.19440853415994788,39.0,Low Development
